category,term,name,desc
chelat,K01772,siderophores,no_desc
chelat,K02190,siderophores,no_desc
chelat,K02230,siderophores,no_desc
chelat,K02302,siderophores,no_desc
resistance,K02546,antibiotic_degradation,no_desc
resistance,K02547,antibiotic_degradation,no_desc
type IV pilus,K02652,biofilm,no_desc
type IV pilus,K02653,biofilm,no_desc
type IV pilus,K02655,biofilm,no_desc
type IV pilus,K02656,biofilm,no_desc
type IV pilus,K02661,biofilm,no_desc
type IV pilus,K02662,biofilm,no_desc
type IV pilus,K02663,biofilm,no_desc
type IV pilus,K02664,biofilm,no_desc
type IV pilus,K02665,biofilm,no_desc
type IV pilus,K02666,biofilm,no_desc
type IV pilus,K02671,biofilm,no_desc
type IV pilus,K02672,biofilm,no_desc
type IV pilus,K02673,biofilm,no_desc
type IV pilus,K02674,biofilm,no_desc
type IV pilus,K02675,biofilm,no_desc
type IV pilus,K02676,biofilm,no_desc
secretion syst,K03194,secretion_system,no_desc
secretion syst,K03195,secretion_system,no_desc
secretion syst,K03196,secretion_system,no_desc
secretion syst,K03197,secretion_system,no_desc
secretion syst,K03198,secretion_system,no_desc
secretion syst,K03199,secretion_system,no_desc
secretion syst,K03200,secretion_system,no_desc
secretion syst,K03201,secretion_system,no_desc
secretion syst,K03202,secretion_system,no_desc
secretion syst,K03203,secretion_system,no_desc
secretion syst,K03204,secretion_system,no_desc
secretion syst,K03205,secretion_system,no_desc
resistance,K03297,antibiotic_degradation,no_desc
resistance,K03304,antibiotic_degradation,no_desc
resistance,K03327,antibiotic_degradation,no_desc
chelat,K03403,siderophores,no_desc
chelat,K03404,siderophores,no_desc
chelat,K03405,siderophores,no_desc
resistance,K03446,antibiotic_degradation,no_desc
resistance,K03712,antibiotic_degradation,no_desc
chelat,K03794,siderophores,no_desc
chelat,K03795,siderophores,no_desc
vibriobactin,K04778,siderophores,no_desc
yersiniabactin,K04783,siderophores,no_desc
yersiniabactin,K04784,siderophores,no_desc
yersiniabactin,K04785,siderophores,no_desc
yersiniabactin,K04786,siderophores,no_desc
yersiniabactin,K05374,siderophores,no_desc
resistance,K05595,antibiotic_degradation,no_desc
resistance,K05791,antibiotic_degradation,no_desc
resistance,K05792,antibiotic_degradation,no_desc
resistance,K05793,antibiotic_degradation,no_desc
resistance,K05794,antibiotic_degradation,no_desc
resistance,K05795,antibiotic_degradation,no_desc
chelat,K06049,siderophores,no_desc
pyoverdin,K06160,siderophores,no_desc
resistance,K07156,antibiotic_degradation,no_desc
chelat,K07229,siderophores,no_desc
resistance,K07233,antibiotic_degradation,no_desc
resistance,K07245,antibiotic_degradation,no_desc
capsul,K07265,biofilm,no_desc
capsul,K07266,biofilm,no_desc
secretion syst,K07344,secretion_system,no_desc
chelat,K07391,siderophores,no_desc
resistance,K07552,antibiotic_degradation,no_desc
beta-lactamase,K07576,antibiotic_degradation,no_desc
resistance,K07665,antibiotic_degradation,no_desc
capsul,K07677,biofilm,no_desc
resistance,K07681,antibiotic_degradation,no_desc
resistance,K07694,antibiotic_degradation,no_desc
capsul,K07781,biofilm,no_desc
quorum-sensing,K07782,quorum_sensing,no_desc
resistance,K07785,antibiotic_degradation,no_desc
resistance,K07786,antibiotic_degradation,no_desc
resistance,K07797,antibiotic_degradation,no_desc
resistance,K07803,antibiotic_degradation,no_desc
resistance,K08151,antibiotic_degradation,no_desc
resistance,K08152,antibiotic_degradation,no_desc
resistance,K08153,antibiotic_degradation,no_desc
resistance,K08161,antibiotic_degradation,no_desc
resistance,K08162,antibiotic_degradation,no_desc
resistance,K08163,antibiotic_degradation,no_desc
resistance,K08166,antibiotic_degradation,no_desc
resistance,K08167,antibiotic_degradation,no_desc
resistance,K08169,antibiotic_degradation,no_desc
resistance,K08170,antibiotic_degradation,no_desc
beta-lactamase,K08218,antibiotic_degradation,no_desc
resistance,K08221,antibiotic_degradation,no_desc
resistance,K08223,antibiotic_degradation,no_desc
siderophore,K08225,siderophores,no_desc
resistance,K08365,antibiotic_degradation,no_desc
chelat,K09121,siderophores,no_desc
capsul,K09688,biofilm,no_desc
capsul,K09689,biofilm,no_desc
resistance,K09771,antibiotic_degradation,no_desc
extracellular matrix,K09777,biofilm,no_desc
chelat,K09882,siderophores,no_desc
chelat,K09883,siderophores,no_desc
capsul,K10107,biofilm,no_desc
autoindu,K10909,quorum_sensing,no_desc
autoindu,K10910,quorum_sensing,no_desc
autoindu,K10915,quorum_sensing,no_desc
autoindu,K10916,quorum_sensing,no_desc
autoindu,K11216,quorum_sensing,no_desc
resistance,K11629,antibiotic_degradation,no_desc
resistance,K11630,antibiotic_degradation,no_desc
resistance,K11741,antibiotic_degradation,no_desc
resistance,K11811,antibiotic_degradation,no_desc
resistance,K11814,antibiotic_degradation,no_desc
resistance,K11815,antibiotic_degradation,no_desc
secretion syst,K11889,secretion_system,no_desc
secretion syst,K11890,secretion_system,no_desc
secretion syst,K11891,secretion_system,no_desc
secretion syst,K11892,secretion_system,no_desc
secretion syst,K11893,secretion_system,no_desc
secretion syst,K11894,secretion_system,no_desc
secretion syst,K11895,secretion_system,no_desc
secretion syst,K11896,secretion_system,no_desc
secretion syst,K11897,secretion_system,no_desc
secretion syst,K11898,secretion_system,no_desc
secretion syst,K11899,secretion_system,no_desc
secretion syst,K11900,secretion_system,no_desc
secretion syst,K11901,secretion_system,no_desc
secretion syst,K11902,secretion_system,no_desc
secretion syst,K11905,secretion_system,no_desc
secretion syst,K11906,secretion_system,no_desc
secretion syst,K11907,secretion_system,no_desc
secretion syst,K11909,secretion_system,no_desc
secretion syst,K11910,secretion_system,no_desc
secretion syst,K11911,secretion_system,no_desc
secretion syst,K11913,secretion_system,no_desc
secretion syst,K11918,secretion_system,no_desc
secretion syst,K11919,secretion_system,no_desc
biofilm,K11935,biofilm,no_desc
biofilm,K11937,biofilm,no_desc
secretion syst,K12078,secretion_system,no_desc
secretion syst,K12079,secretion_system,no_desc
secretion syst,K12080,secretion_system,no_desc
secretion syst,K12081,secretion_system,no_desc
secretion syst,K12082,secretion_system,no_desc
secretion syst,K12083,secretion_system,no_desc
secretion syst,K12084,secretion_system,no_desc
secretion syst,K12085,secretion_system,no_desc
biofilm,K12148,biofilm,no_desc
resistance,K12151,antibiotic_degradation,no_desc
adhesi,K12341,biofilm,no_desc
adhesi,K12342,biofilm,no_desc
adhesi,K12522,biofilm,no_desc
secretion syst,K12536,secretion_system,no_desc
secretion syst,K12537,secretion_system,no_desc
secretion syst,K12538,secretion_system,no_desc
adhesi,K12542,biofilm,no_desc
adhesi,K12543,biofilm,no_desc
adhesi,K12549,biofilm,no_desc
resistance,K12683,antibiotic_degradation,no_desc
adhesi,K12689,biofilm,no_desc
chelat,K13580,siderophores,no_desc
resistance,K13630,antibiotic_degradation,no_desc
biofilm,K13650,biofilm,no_desc
quorum-sensing,K13651,quorum_sensing,no_desc
biofilm,K13654,biofilm,no_desc
adhesi,K13735,biofilm,no_desc
secretion syst,K14978,secretion_system,no_desc
secretion syst,K14979,secretion_system,no_desc
secretion syst,K14988,secretion_system,no_desc
secretion syst,K14989,secretion_system,no_desc
secretion syst,K15126,secretion_system,no_desc
secretion syst,K15367,secretion_system,no_desc
secretion syst,K15368,secretion_system,no_desc
resistance,K15547,antibiotic_degradation,no_desc
yersiniabactin,K15721,siderophores,no_desc
autoindu,K15850,quorum_sensing,no_desc
resistance,K15973,antibiotic_degradation,no_desc
rhodotorulic acid,K16088,siderophores,no_desc
enterochelin,K16089,siderophores,no_desc
siderophore,K16090,siderophores,no_desc
exopolysaccharide,K16565,biofilm,no_desc
exopolysaccharide,K16566,biofilm,no_desc
exopolysaccharide,K16567,biofilm,no_desc
exopolysaccharide,K16568,biofilm,no_desc
exopolysaccharide,K16696,biofilm,no_desc
beta-lactamase,K17382,antibiotic_degradation,no_desc
beta-lactamase,K17837,antibiotic_degradation,no_desc
beta-lactamase,K17838,antibiotic_degradation,no_desc
beta-lactamase,K17850,antibiotic_degradation,no_desc
quorum-sensing,K18098,quorum_sensing,no_desc
quorum-sensing,K18099,quorum_sensing,no_desc
resistance,K18131,antibiotic_degradation,no_desc
resistance,K18135,antibiotic_degradation,no_desc
resistance,K18136,antibiotic_degradation,no_desc
resistance,K18214,antibiotic_degradation,no_desc
